大事	だいじ, おおごと	important; valuable; serious matter
両方	りょうほう	both
技術	ぎじゅつ	technology; engineering<br/>technique; skill<br/>art; craft
経験	けいけん	experience
技術者	ぎじゅつしゃ	engineer; technical expert
必要	ひつよう	need; necessity
絶対	ぜったい	absolute; absolutely
社長	しゃちょう	president (of a company); manager; director
無理	むり	impossible; forced; overdoing
朝ご飯	あさごはん	breakfast
埋め合わせ	うめあわせ	compensation
全然	ぜんぜん	wholly; not at all (with negative)
実践	じっせん	practice; put into practice
文法	ぶんぽう	grammar
思い出す	おもいだす	to recall; to remember; to recollect<br/>to remind of; to call to mind
終わる	おわる	to finish; to end; to close
君	きみ,くん	you; name suffix for boys
試す	ためす	to attempt; to test
鋭い	するどい	pointed; sharp
思う	おもう	to think
住む	すむ	to live; reside
一生懸命	いっしょうけんめい	with all one's might; with utmost effort; very hard
演奏	えんそう	musical performance
卒業	そつぎょう	graduation
落とす	おとす	to drop; to lose; to remove
調子	ちょうし	tone; condition
可笑しい	おかしい	funny; amusing; strange; peculiar
捕まえる	つかまえる	to arrest; to catch; to seize
掴む	つかむ	to grip; to grab; to catch hold of
運転	うんてん	drive
運転免許	うんてんめんきょ	driver's license
親	おや	parent(s)
海外旅行	かいがいりょこう	trip to a foreign country
地震	じしん	earthquake
地震学	じしんがく	seismology
興味	きょうみ	interest (in something)
無事	ぶじ	safely; peacefully
願う	ねがう	to wish; to ask a favor; to apply for
歌詞	かし	song lyrics
簡単	かんたん	simple; easy
～年代	～ねんだい	~ties (as in "the sixties")
場合	ばあい	case; situation
可能性	かのうせい	potentiality; likelihood; possibility; availability
含まれる	ふくまれる	be included (in something)
添削	てんさく	correction
専門家	せんもんか	specialist; expert
韓国料理	かんこくりょうり	Korean food
命	いのち	life
壊す	こわす	to break; to destroy; to smash
心臓	しんぞう	heart (organ)
瞬間	しゅんかん	instant; moment
払う	はらう	to pay; to brush off; to dispose of
美味しい	おいしい	tasty
趣味	しゅみ	hobby; interest
薬	くすり	medicine; drug; remedy; chemical
身長	しんちょう	stature; height
合格	ごうかく	passing an examination; eligibility
不合格	ふごうかく	failure; disqualification
勘弁	かんべん	pardon; forgiveness; forbearance
動物園	どうぶつえん	zoo
笑顔	えがお	smiling face; smile
言い訳	いいわけ	apology; excuse
恥ずかしい	はずかしい	shy; ashamed; embarassed
恥ずかしがり屋	はずかしがりや	shy person
易しい	やさしい	easy; simple
優しい	やさしい	gentle; kindhearted
約束	やくそく	promise; agreement; contract; pact
守る	まもる	to protect; to guard; to defend; to keep (a promise); to abide (by the rules)
約束を守る	やくそくをまもる	keep a promise
式場	しきじょう	ceremonial hall; place of ceremony (e.g. marriage)
自動車学校	じどうしゃがっこう	driving school
通う	かよう	to go to and from (a place); to go back and forth between; to run between (e.g. bus, train, etc.); to go to (school, work, etc.); to circulate (e.g. blood, electricity)
調べる	しらべる	investigate; check
最近	さいきん	lately; recently
数学	すうがく	mathematics
数学者	すうがくしゃ	mathematician
足る	たる	be sufficient; be enough
物足りない	ものたりない	unsatisfied; unsatisfactory
出発	しゅっぱつ	departure
出発時間	しゅっぱつじかん	starting (departure) time
到着	とうちゃく	arrival
到着時刻	とうちゃくじこく	arrival time
賑やか	にぎやか	lively; exciting
二日酔	ふつかよい	hangover
真っ直ぐ	まっすぐ	dead straight; honestly
沢山	たくさん	a lot; plenty
喋る	しゃべる	chat; talk
心	こころ	heart; mind
幸せ	しあわせ	happiness; good fortune
戻る	もどる	to return (to a place); turn back
朝飯	あさめし, あさはん	breakfast
出身	しゅっしん	person's origin
ご飯	ごはん	rice; food; meal
焼き鳥	やきとり	grilled chicken on skewer
焼肉	やきにく	yakiniku (Japanese dish of fried meat), Korean barbecue
風邪薬	かぜぐすり	remedy for a cold
寿司	すし	sushi
下らない	くだらない	pointless; worthless; insignificant; good-for-nothing; stupid
詰まらない	つまらない	dull; uninteresting; boring; tedious
事務所	じむしょ	office; one's place of business
息子	むすこ	son
娘	むすめ	daughter; girl
勿論	もちろん	of course; no doubt
妻	つま	wife
大抵	たいてい	generally; mostly; usually
試合	しあい	match; game
負ける	まける	to lose, to be defeated
素敵	すてき	lovely; nice
美術館	びじゅつかん	art museum; art gallery
展覧会	てんらんかい	exhibition
作品	さくひん	work of art; piece
下さい	ください	please; give me...
偶に	たまに	occasionally; once in a while
終電	しゅうでん	last train
終電車	しゅうでんしゃ	last train
申す	もうす	to be called; to say (humble)
息子さん	むすこさん	son (respectful)
娘さん	むすめさん	daughter; young woman
家内	かない	(my) wife
奥さん	おくさん	(someone else's) wife; married lady
得意	とくい	triumph; prosperity; pride; one's strong point
苦手	にがて	poor (at); weak (in); not very good (at); dislike (of)
試験	しけん	test; examination
心配	しんぱい	worry; concern; anxiety; assistance
浴衣	ゆかた	yukata; informal summer kimono
電池	でんち	battery
扇子	せんす	paper fan
人形	にんぎょう	doll
時計	とけい	clock; watch
足	あし	leg; foot
林檎	りんご	apple
携帯	けいたい	cell phone; portable; carry
朝寝坊	あさねぼう	oversleep
誕生日	たんじょうび	birthday
用事	ようじ	things to do; errand; business
ご存じ	ごぞんじ	know (honorific)
信号	しんごう	signal; traffic light
バス停	バスてい	bus stop
劇場	げきじょう	theater
博物館	はくぶつかん	museum
名刺	めいし	business card; calling card
道	みち	road; street
歩道橋	ほどうきょう	pedestrian bridge
横断歩道	おうだんほどう	pedestrian crossing; crosswalk
折り紙	おりがみ	origami; paper folding
反対	はんたい	opposition; contrast; opposite
離婚	りこん	divorce
美しい	うつくしい	beautiful
真面目	まじめ	serious; sober; earnest
普通	ふつう	normal; regular; general; ordinary
肩	かた	shoulder
四角い	しかくい	square; four-sided
髪	かみ	hair; hairstyle
金髪	きんぱつ	blond; blonde
喉	のど	throat
素晴らしい	すばらしい	splendid; excellent
不愉快	ふゆかい	unpleasant; disagreeable
出張	しゅっちょう	business trip; official tour
最初	さいしょ	beginning; outset; first; onset
以上	いじょう	not less than; ... and more; ... and upwards
数字	すうじ	numeral; figure; digit; numeric character
新幹線	しんかんせん	Shinkansen; Bullet Train
中止	ちゅうし	suspension, stoppage, discontinuance, interruption
大阪	おおさか	Osaka (place name)
霧	きり	fog; mist
片道	かたみち	one way
片道切符	かたみちきっぷ	one-way ticket
往復	おうふく	going and returning; round trip
往復切符	おうふくきっぷ	round-trip ticket; return ticket
同僚	どうりょう	colleague; coworker
季節	きせつ	season
霊	れい	soul; spirit; departed soul; ghost
気温	きおん	atmospheric temperature
